N-Gram Setting,LR Accuracy,LR F1,SVM Accuracy,SVM F1
1-Gram (Unigram),0.5863808322824716,0.567806125954591,0.5592686002522068,0.5644005566414529
2-Gram (Bigram),0.5737704918032787,0.5434125454133271,0.5145018915510718,0.5282650212970394
3-Gram (Trigram),0.43631778058007564,0.32362899070591217,0.3385876418663304,0.29789205495995114
1-to-2 Grams (Uni+Bi),0.619798234552333,0.6014128101993117,0.5737704918032787,0.5780538621004753
1-to-3 Grams (Uni+Bi+Tri),0.60718789407314,0.5884812687565001,0.5687263556116016,0.57384074045741
